,eventID,groupID,RP_hit_in_group,Max_line_no
20202,20009816,5,3,1
20211,20009821,2,3,1
20225,20009828,1,3,1
20291,20009861,1,3,2
20312,20009870,5,3,1
20344,20009887,5,3,1
20358,20009894,4,3,1
20366,20009898,5,3,2
20367,20009899,2,3,1
20374,20009901,4,3,14
20375,20009902,1,3,1
20379,20009904,2,3,1
20430,20009929,1,3,1
20484,20009957,2,3,2
20487,20009958,4,3,1
20492,20009961,1,3,2
20546,20009986,5,3,1
20557,20009993,2,3,1
20562,20009995,4,3,1
20571,20009999,2,3,1
20626,20010024,5,3,2
20656,20010039,5,3,3
20663,20010042,4,3,2
20701,20010061,4,3,4
20736,20010078,4,3,3
20741,20010080,5,3,1
20803,20010110,1,3,1
20811,20010114,2,3,1
20831,20010123,5,3,1
20851,20010134,5,3,4
20896,20010158,1,3,1
20912,20010166,2,3,2
20927,20010173,5,3,1
20938,20010179,2,3,1
21016,20010216,5,3,1
21077,20010246,4,3,1
21085,20010249,5,3,2
21096,20010255,2,3,1
21102,20010258,1,3,1
21157,20010285,2,3,1
21234,20010323,4,3,1
21293,20010351,2,3,1
21310,20010359,5,3,1
21331,20010371,5,3,4
21339,20010374,5,3,1
21374,20010391,1,3,2
21414,20010410,1,3,2
21440,20010421,1,3,1
21441,20010421,5,3,1
21448,20010425,2,3,1
21488,20010443,2,3,1
21512,20010454,5,3,1
21521,20010458,5,3,1
21522,20010459,1,3,1
21524,20010459,5,3,3
21555,20010473,4,3,4
21556,20010473,5,3,2
21557,20010473,6,3,1
21619,20010504,2,3,1
21624,20010506,5,3,2
21643,20010517,1,3,1
21652,20010521,4,3,1
21685,20010536,1,3,1
21697,20010542,2,3,1
21721,20010553,1,3,1
21751,20010568,2,3,1
21753,20010569,2,3,1
21805,20010592,4,3,1
21825,20010603,5,3,1
21828,20010605,2,3,2
21832,20010606,4,3,1
21883,20010630,2,3,1
21971,20010671,1,3,1
22013,20010691,3,3,4
22080,20010727,2,3,1
22097,20010736,2,3,1
22103,20010739,1,3,1
22125,20010750,1,3,1
22141,20010757,1,3,1
22155,20010764,1,3,1
22186,20010780,4,3,4
22197,20010785,2,3,1
22241,20010809,2,3,1
22278,20010828,2,3,1
22296,20010836,4,3,1
22297,20010837,1,3,1
22298,20010837,5,3,1
22299,20010838,1,3,1
22303,20010839,4,3,1
22315,20010846,2,3,3
22359,20010867,2,3,1
22376,20010875,5,3,1
22429,20010901,2,3,1
22435,20010904,1,3,1
22465,20010920,4,3,1
22501,20010938,5,3,1
22502,20010939,2,3,1
22539,20010955,1,3,1
22547,20010959,4,3,4
22590,20010981,1,3,1
22615,20010992,5,3,1
22622,20010995,5,3,1
22624,20010996,4,3,1
22640,20011005,1,3,1
22645,20011007,5,3,1
22686,20011026,4,3,1
22725,20011043,5,3,5
22748,20011054,4,3,1
22781,20011071,5,3,1
22792,20011077,1,3,2
22857,20011107,2,3,1
22861,20011109,2,3,1
22980,20011163,4,3,1
23000,20011173,4,3,1
23012,20011179,1,3,1
23107,20011226,2,3,1
23139,20011242,2,3,1
23185,20011265,5,3,1
23202,20011274,1,3,1
23209,20011277,4,3,3
23210,20011278,2,3,3
23220,20011282,4,3,2
23221,20011282,5,3,3
23242,20011292,4,3,1
23252,20011297,4,3,6
23260,20011300,5,3,1
23274,20011306,5,3,1
23282,20011310,2,3,1
23287,20011312,5,3,2
23332,20011336,1,3,2
23338,20011339,2,3,1
23388,20011365,4,3,1
23393,20011368,2,3,1
23442,20011391,2,3,2
23491,20011416,4,3,1
23492,20011417,2,3,1
23541,20011441,4,3,1
23571,20011456,5,3,1
23575,20011458,5,3,2
23585,20011463,2,3,1
23586,20011463,4,3,2
23593,20011467,1,3,1
23602,20011471,1,3,4
23649,20011497,1,3,1
23720,20011533,1,3,1
23721,20011533,5,3,1
23723,20011534,4,3,1
23775,20011560,4,3,1
23781,20011563,5,3,1
23791,20011568,5,3,5
23837,20011592,1,3,1
23839,20011593,1,3,1
23886,20011615,2,3,4
23912,20011627,5,3,1
23930,20011636,1,3,1
24073,20011706,5,3,1
24091,20011715,1,3,2
24098,20011717,2,3,1
24118,20011727,2,3,2
24159,20011749,2,3,2
24212,20011773,1,3,2
24245,20011789,5,3,1
24252,20011793,4,3,1
24291,20011811,4,3,1
24292,20011812,2,3,2
24308,20011820,2,3,1
24374,20011851,4,3,1
24385,20011857,1,3,1
24404,20011868,2,3,1
24406,20011869,2,3,1
24415,20011873,4,3,1
24442,20011889,1,3,1
24469,20011904,4,3,1
24505,20011922,5,3,1
24517,20011927,2,3,3
24518,20011927,3,3,3
24590,20011963,4,3,2
24636,20011986,5,3,1
